EXBZUS	EXCAUS	EXCHUS	EXDNUS	EXHKUS	EXINUS	EXJPUS	EXKOUS	EXMAUS	EXMXUS	EXNOUS	EXSDUS	EXSFUS	EXSIUS	EXSLUS	EXSZUS	EXTAUS	EXTHUS	EXALUS	EXEUUS	EXNZUS	EXUKUS
2.0279	0.9924	6.3593	6.0015	7.7562	55.4935	78.6909	1131.7457	3.1153	13.1793	5.9012	6.6758	8.2596	1.248	131.9896	0.9681	29.9426	31.397	0.9547	0.8061	1.2340	0.6361
2.0269	0.9783	6.32	5.7855	7.754	54.35	78.1353	1122.9911	3.0758	12.9235	5.7467	6.596	8.2574	1.2303	131.5105	0.9386	29.4763	30.9442	0.9610	0.7761	1.2197	0.6201
2.0297	0.9872	6.2627	5.7486	7.7515	53.0995	79.0132	1105.3823	3.0524	12.8976	5.7078	6.64	8.6424	1.2237	129.0859	0.9323	29.2418	30.6764	0.9711	0.7708	1.2200	0.6219
2.0662	0.997	6.2338	5.81	7.7505	54.7845	81.0305	1086.9525	3.0555	13.0639	5.718	6.7059	8.7994	1.2232	130.234	0.9388	29.1145	30.6945	0.9611	0.7790	1.2203	0.6263
2.0775	0.9898	6.2328	5.6864	7.7501	54.647	83.7905	1075.2225	3.0537	12.8651	5.6103	6.5936	8.6116	1.2204	128.036	0.9213	29.0445	30.6155	0.9556	0.7623	1.2031	0.6194
2.0281	0.9921	6.2215	5.6087	7.753	54.229	89.0581	1066.5205	3.0407	12.6964	5.55	6.4801	8.7978	1.2282	126.72	0.9234	29.1	30.041	0.9524	0.7517	1.1947	0.6264
1.9729	1.0098	6.2323	5.5894	7.7552	53.8079	93.0016	1087.3084	3.0964	12.7249	5.5648	6.3756	8.8766	1.2382	126.7342	0.9212	29.6321	29.8105	0.9699	0.7492	1.1926	0.6462
1.9842	1.0244	6.2154	5.7552	7.7592	54.4229	94.77	1102.871	3.1074	12.5	5.7806	6.4455	9.1927	1.2466	126.7005	0.9466	29.7448	29.4948	0.9667	0.7720	1.2071	0.6631
2.0011	1.0187	6.1861	5.7235	7.7631	54.3236	97.7582	1120.8977	3.048	12.2061	5.7935	6.4867	9.1007	1.238	125.9673	0.9366	29.8268	29.0573	0.9634	0.7678	1.1794	0.6531
2.0365	1.0196	6.1416	5.741	7.7614	54.9845	100.9186	1111.4945	3.0188	12.2993	5.8202	6.5992	9.3494	1.2486	126.2432	0.9557	29.7755	29.7618	1.0082	0.7702	1.2123	0.6537
2.1734	1.0314	6.1342	5.6513	7.7602	58.3835	97.235	1135.0085	3.1433	12.9636	5.8759	6.5848	10.0001	1.2595	127.9125	0.9331	29.9285	30.816	1.0593	0.7577	1.2652	0.6455
2.2518	1.0402	6.1343	5.6983	7.7567	59.7609	99.6727	1125.03	3.1916	12.7615	6.0246	6.6161	9.9133	1.2681	131.1345	0.9449	29.9373	31.1082	1.0923	0.7641	1.2682	0.6588
2.3408	1.0407	6.1213	5.6014	7.7553	62.8109	97.8123	1115.9418	3.2769	12.912	5.9677	6.5365	10.0708	1.2724	131.9682	0.9261	29.9414	31.5645	1.1066	0.7511	1.2633	0.6450
2.2641	1.0342	6.1198	5.5814	7.7543	63.648	99.21	1082.3115	3.2495	13.0553	5.9662	6.4896	9.9616	1.2622	132.3465	0.9231	29.6225	31.6345	1.0749	0.7483	1.2250	0.6295
2.1882	1.0363	6.1032	5.4662	7.7536	61.6059	97.77	1065.8573	3.1734	12.9916	5.9491	6.408	9.8979	1.2431	130.9955	0.9025	29.3768	31.185	1.0505	0.7328	1.1983	0.6212
2.2959	1.0486	6.0929	5.5281	7.7523	62.5179	100.0737	1061.5637	3.1961	13.0597	6.0856	6.5863	10.2009	1.2476	131.0895	0.9129	29.5179	31.6242	1.0725	0.7412	1.2108	0.6211
2.3471	1.0639	6.0738	5.4418	7.7535	61.811	103.46	1055.6348	3.2491	13.0099	6.1342	6.5328	10.3683	1.2589	130.7643	0.8933	29.7233	32.3505	1.1136	0.7295	1.2160	0.6104
2.3858	1.094	6.0509	5.4787	7.7578	62.1057	103.7614	1067.1267	3.3028	13.222	6.1622	6.4862	10.8872	1.2726	130.6857	0.9038	30.1357	32.9262	1.1289	0.7343	1.2085	0.6072
2.3792	1.1054	6.0816	5.4606	7.7585	62.1642	102.1253	1071.3063	3.3068	13.2928	6.1147	6.493	10.9506	1.2659	130.7968	0.8937	30.3063	32.6179	1.1143	0.7318	1.2053	0.6039
2.3251	1.1107	6.1729	5.3975	7.7612	60.9476	102.3395	1070.491	3.2801	13.1929	5.9955	6.4114	10.7445	1.2672	130.5857	0.8805	30.3995	32.3619	1.1002	0.7232	1.1711	0.6015
2.2325	1.0992	6.2246	5.4056	7.754	60.3464	102.4582	1042.635	3.2539	13.0669	5.979	6.5488	10.5364	1.2548	130.5936	0.8828	30.1927	32.2982	1.0735	0.7241	1.1620	0.5971
2.2195	1.0894	6.238	5.4331	7.7523	59.2843	101.7738	1024.7867	3.2291	12.933	5.9389	6.5719	10.4092	1.2514	130.3833	0.8883	30.1167	32.5257	1.0747	0.7279	1.1621	0.5938
2.236	1.083	6.2306	5.4861	7.7516	59.7367	102.0629	1018.7443	3.2175	12.9932	6.0437	6.6859	10.6766	1.2512	130.2714	0.8958	29.99	32.4905	1.0678	0.7356	1.1600	0.5914
2.2242	1.0739	6.1984	5.5097	7.7502	60.0956	101.74	1021.0341	3.1808	12.9914	6.1992	6.8189	10.6577	1.2427	130.2123	0.8978	29.9491	32.0864	1.0651	0.7389	1.1511	0.5860
